Home,WINorLOSS,TeamPoints,OpponentPoints,FieldGoals,FieldGoalsAttempted,FieldGoals.,X3PointShots,X3PointShotsAttempted,X3PointShots.,FreeThrows,FreeThrowsAttempted,FreeThrows.,OffRebounds,TotalRebounds,Assists,Steals,Blocks,Turnovers,TotalFouls,Opp.FieldGoals,Opp.FieldGoalsAttempted,Opp.FieldGoals.,Opp.3PointShots,Opp.3PointShotsAttempted,Opp.3PointShots.,Opp.FreeThrows,Opp.FreeThrowsAttempted,Opp.FreeThrows.,Opp.OffRebounds,Opp.TotalRebounds,Opp.Assists,Opp.Steals,Opp.Blocks,Opp.Turnovers,Opp.TotalFouls
0,0,88,109,34,91,0.374,9,34,0.265,11,14,0.7859999999999999,9,40,22,6,2,8,17,41,85,0.48200000000000004,9,22,0.409,18,23,0.7829999999999999,13,59,23,4,5,12,13
1,0,113,121,43,88,0.489,11,27,0.40700000000000003,16,24,0.667,5,31,27,7,5,5,18,47,83,0.5660000000000001,8,19,0.42100000000000004,19,25,0.76,9,44,25,2,4,12,20
0,1,131,120,51,87,0.586,15,34,0.441,14,20,0.7,5,28,36,8,5,9,17,45,89,0.506,11,28,0.39299999999999996,19,21,0.905,13,45,29,6,4,15,16
1,0,108,113,42,89,0.47200000000000003,14,33,0.424,10,20,0.5,12,39,29,5,1,8,29,37,74,0.5,13,25,0.52,26,37,0.703,7,42,21,6,5,11,20
1,1,118,111,39,97,0.402,7,29,0.24100000000000002,33,42,0.7859999999999999,13,49,22,8,11,7,17,39,83,0.47,11,27,0.40700000000000003,22,26,0.846,6,45,21,5,6,17,32
1,0,79,109,34,83,0.41,3,21,0.14300000000000002,8,9,0.889,10,42,13,5,3,19,17,43,87,0.494,7,27,0.259,16,21,0.762,10,47,20,10,7,10,16
0,1,136,130,52,105,0.495,11,22,0.5,21,31,0.677,6,47,24,3,5,11,25,50,108,0.46299999999999997,12,30,0.4,18,26,0.6920000000000001,9,48,22,4,6,10,30
0,0,95,106,39,90,0.433,5,27,0.185,12,16,0.75,10,41,21,7,7,16,14,41,96,0.42700000000000005,9,20,0.45,15,17,0.882,18,52,26,9,9,15,18
1,1,109,90,45,89,0.506,11,27,0.40700000000000003,8,14,0.5710000000000001,7,47,25,10,11,14,20,31,87,0.35600000000000004,8,23,0.348,20,24,0.833,12,46,16,8,6,16,14
1,1,112,102,44,86,0.512,13,26,0.5,11,16,0.688,8,43,23,5,3,9,21,35,76,0.461,10,25,0.4,22,28,0.7859999999999999,3,35,17,7,4,6,19
1,0,101,120,42,86,0.488,9,34,0.265,8,10,0.8,9,33,25,7,7,13,15,46,84,0.5479999999999999,10,24,0.41700000000000004,18,19,0.9470000000000001,10,46,25,7,3,13,13
0,0,104,117,42,97,0.433,10,38,0.263,10,11,0.909,10,42,25,6,7,10,22,43,86,0.5,9,22,0.409,22,24,0.917,8,46,28,5,5,11,16
0,1,115,103,45,91,0.495,15,31,0.484,10,14,0.7140000000000001,13,39,35,10,4,12,20,39,83,0.47,8,21,0.381,17,24,0.708,16,46,18,7,5,18,17
1,0,92,111,37,86,0.43,9,28,0.321,9,10,0.9,10,40,19,9,6,17,17,44,81,0.5429999999999999,10,19,0.526,13,18,0.722,3,39,27,12,3,12,12
